ID,Name,Date_of_birth,Age,Gender,Race,Location,country,edu,No_Connection,Year_of_Exp,No_of_Job_changed,No_of_titles,Current_Title,Title_Level,Previous_Title1,Title_Level1,Previous_Title2,Title_Level2,Previous_Title3,Title_Level3,Previous_Title4,Title_Level4,Previous_Title5,Title_Level5,Current_Salary,Fortune500,SuccessScore
749,Gayla Quitzon,2/10/58,59,Female,Native American,NC,USA,Graduate,399,35,1,4,Senior User Experience Consultant,4,Sr. Software Engineer II,4,Research Intern,1,Software Engineer Intern,1,NA,NA,NA,NA,299206,1,3502.936085
750,Brent Conn,10/5/93,24,Female,Caucasian,OH,USA,Associate,406,4,1,2,information technology analyst,3,Business systems analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,130218,1,8611.384542
751,Reynalda Yost,2/12/86,31,Male,African American,MT,USA,Graduate,307,7,3,3,IT Analyst,3,Online Marketing Analyst,3,Web Development Intern,1,NA,NA,NA,NA,NA,NA,205434,1,6666.878355
752,Jestine Bartell,7/3/78,39,Male,Asian,OK,USA,Undergraduate,427,17,4,3,senior software engineer,4,Senior Applied Scientist,4,Team Lead,3,NA,NA,NA,NA,NA,NA,269561,1,5299.313564
753,Dave Nader,2/22/85,32,Female,Hispanic,IL,USA,Associate,308,12,3,4,UI team lead,3,Software analyst,3,Software analyst,3,Developer Analyst,3,NA,NA,NA,NA,207450,1,6458.538406
754,Alex Olson,6/2/72,45,Male,African American,WV,USA,Doctorate,402,12,4,5,Sr. Software Engineer,4,Sr. Software Engineer Test,4,Student Intern Co-op,1,Data Science Intern,1,Student Worker,1,NA,NA,208092,0,4592.738422
755,Ralph Schultz,4/27/88,29,Female,Hispanic,NV,USA,Graduate,353,5,2,1,Sr. NET Developer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208043,0,7126.663069
756,Devin Stehr,7/30/58,59,Male,Caucasian,OH,USA,Associate,385,39,8,5,Senior IT Engineer,4,Sr Technology consultant,4,Technology Business Analyst,3,Product Development Business Analyst,3,UI team lead,3,NA,NA,118808,0,3502.936085
757,Sherrell Ernser,11/4/60,57,Male,Native American,NJ,USA,Graduate,469,33,3,6,Senior Verification Engineer,4,Senior Mobile Developer,4,Software Engineering Intern,1,Intern,1,Student Worker,1,Data Science Intern,1,181604,1,3625.846123
758,Andy Wuckert,2/23/78,39,Female,African American,ND,USA,Undergraduate,304,17,3,3,Senior UX Designer,4,Sr Full-Stack Develop,4,IT Analyst,3,NA,NA,NA,NA,NA,NA,257003,1,5299.313564
759,Collin Kub,5/27/78,39,Male,Asian,TX,USA,Graduate,384,15,4,4,Senior software Engineer,4,Senior - Risk Assurance,4,Business Analytics Intern,1,Business Analytics Intern,1,NA,NA,NA,NA,206383,1,5299.313564
760,Lenard Runolfsdottir,9/17/91,26,Male,Hispanic,OK,USA,Graduate,370,2,1,3,Senior Product Manager,4,Software Engineer Intern,1,Intern,1,NA,NA,NA,NA,NA,NA,197822,1,7948.970346
761,Lakita Koepp,5/26/57,60,Male,African American,MS,USA,Associate,373,40,3,4,Senior UNIX administrator,4,Senior Web Engineer,4,Dev Team leader,3,Development Team Lead,3,NA,NA,NA,NA,209596,0,3444.553817
762,Andree Feeney,11/12/71,45,Male,Caucasian,SD,USA,Undergraduate,379,23,1,5,Sr Technology consultant,4,data analyst,3,Business Analyst,3,Data analyst,3,UI team lead,3,NA,NA,281883,1,4592.738422
763,Diamond Von,9/24/90,27,Female,Caucasian,UT,USA,Graduate,456,3,1,3,Development Team Lead,3,System Analyst III,3,Intern,1,NA,NA,NA,NA,NA,NA,205167,1,7654.564037
764,Reid Bechtelar,8/11/54,63,Female,Caucasian,AK,USA,Doctorate,393,30,3,4,Senior Application Developer,4,Senior software engineer,4,Intern,1,Product Management Intern,1,NA,NA,NA,NA,192997,1,3280.527444
765,Roberto Farrell,8/17/93,24,Male,Hispanic,AR,USA,Undergraduate,380,2,1,4,Senior Programmer,4,Developer Analyst,3,HR Analyst,3,Business systems analyst,3,NA,NA,NA,NA,190587,0,8611.384542
766,Rickie Ebert,6/6/62,55,Male,Native American,WV,USA,Undergraduate,420,33,11,6,Senior Expert,4,Sr. Software Engineer - Automation,4,Development Team Lead,3,Data analyst,3,Programmer Analyst,3,Programmer/Analyst,3,192227,1,3757.695073
767,Crystle Kuvalis,9/13/76,41,Female,Native American,SD,USA,Undergraduate,303,19,1,3,SR. Software Consultant,4,Database Analyst,3,data analyst,3,NA,NA,NA,NA,NA,NA,188371,0,5040.810463
768,Erich Mayer,6/3/88,29,Male,Hispanic,AK,USA,Associate,490,9,2,4,Senior Data Scientist,4,Sr. Frontend Eng,4,Programmer/Analyst,3,Analyst (Technology),3,NA,NA,NA,NA,201955,0,7126.663069
769,Salvador Hettinger,7/31/65,52,Female,African American,IA,USA,Doctorate,473,19,1,5,"Director, Online Marketing",5,Senior Telecommunications Specialist,4,Developer Intern,1,Internal Help Desk,1,Intern,1,NA,NA,185129,1,3974.485173
770,Trinidad Ratke,10/7/89,28,Female,Native American,WA,USA,Graduate,451,4,1,1,Senior Verification Engineer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219173,0,7381.18675
771,Adrian Wolf,3/28/62,55,Male,Asian,CO,USA,Associate,451,35,5,5,Senior Sales Consultant,4,Analyst,3,Programmer Analyst I,3,Operations Analyst,3,Programmer/Analyst,3,NA,NA,196766,1,3757.695073
772,Jeramy Hudson,9/22/74,43,Female,Asian,IA,USA,Graduate,446,19,1,5,CTO,6,"Lead DevOps Engineer, Team Lead",3,Internal Help Desk,1,Data Science Intern,1,Internal Help Desk,1,NA,NA,206453,1,4806.354163
773,Rodrick Jast,1/30/71,46,Male,African American,NJ,USA,Graduate,456,22,1,4,Senior Full Stack Engineer,4,Senior IT Analyst,4,Intern,1,Developer Intern,1,NA,NA,NA,NA,207735,1,4492.896283
774,Dolores Smith,4/21/89,28,Male,Asian,VA,USA,Undergraduate,412,6,3,2,Sr Quality Engineer,4,Product Development Business Analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,194520,0,7381.18675
775,Tony Robel,2/15/78,39,Male,African American,GA,USA,Doctorate,448,6,3,3,Dev Team leader,3,Data analyst,3,Intern,1,NA,NA,NA,NA,NA,NA,206427,0,5299.313564
776,Rossana Strosin,7/5/78,39,Male,Hispanic,HI,USA,Undergraduate,343,17,4,3,Sr. Software Developer,4,data mining analyst,3,Developer / System Analyst,3,NA,NA,NA,NA,NA,NA,194900,1,5299.313564
777,Zachery Hayes,1/15/61,56,Female,African American,UT,USA,Associate,354,36,7,5,Senior - Risk Assurance,4,Programmer/Analyst,3,Devops team lead,3,System Analyst,3,Programmer Analyst,3,NA,NA,209499,1,3690.593375
778,Booker Kihn,12/17/75,41,Male,African American,NJ,USA,Graduate,348,17,4,5,Senior Telecommunications Specialist,4,senior software engineer,4,Product Management Intern,1,Business Analytics Intern,1,Student Intern Co-op,1,NA,NA,203067,0,5040.810463
779,Bryan Nikolaus,6/21/88,29,Female,Caucasian,HI,USA,Graduate,373,5,3,1,Application Development Analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205013,0,7126.663069
780,Thi Padberg,5/5/91,26,Female,Asian,WI,USA,Undergraduate,415,4,1,2,Senior Software Engineer II,4,Security Analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,559400,1,7948.970346
781,Sharon Schmitt,5/5/58,59,Male,Asian,CO,USA,Doctorate,481,26,6,6,Senior developer,4,Senior Bioinformatician,4,Summer Intern,1,Business Analytics Intern,1,Business Analytics Intern,1,Intern,1,203203,1,3502.936085
782,Maricela Schoen,3/1/55,62,Female,Caucasian,LA,USA,Undergraduate,302,40,6,4,SOFTWARE ARCHITECT,4,Application Analyst,3,Software Engineer / Team Lead,3,Security Analyst,3,NA,NA,NA,NA,283525,0,3333.439177
783,Candice Beier,1/21/83,34,Male,African American,CT,USA,Graduate,435,10,4,4,Senior Team Lead,4,Senior Technical Project Manager,4,Data Science Intern,1,Internal Help Desk,1,NA,NA,NA,NA,204621,1,6078.624382
784,Lindy McDermott,10/10/90,27,Female,African American,OK,USA,Associate,407,7,1,3,Software analyst,3,Software analyst,3,IT Analyst,3,NA,NA,NA,NA,NA,NA,37176,0,7654.564037
785,Misty Gibson,8/2/80,37,Male,Asian,RI,USA,Associate,326,17,4,3,Senior Designer,4,"Bioinformatics Scientist, Sr",4,Analyst programmer iii,3,NA,NA,NA,NA,NA,NA,208702,0,5585.762946
786,Casandra Blick,1/5/94,23,Female,African American,LA,USA,Undergraduate,340,1,1,1,Senior Telecommunications Specialist,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279684,1,8985.792565
787,Ulysses Friesen,8/7/55,62,Male,Caucasian,NC,USA,Doctorate,360,29,6,6,Sr Staff Program Mgr,4,Senior IT Analyst,4,Software Engineering Intern,1,Intern,1,Research Intern,1,Student Worker,1,192732,0,3333.439177
788,Dorian Mraz,5/27/93,24,Male,Caucasian,AZ,USA,Undergraduate,416,2,1,3,Senior software engineer,4,Product Development Business Analyst,3,data mining analyst,3,NA,NA,NA,NA,NA,NA,199921,1,8611.384542
789,Felecia Yost,6/28/82,35,Female,Native American,NM,USA,Doctorate,409,2,1,4,Senior Consultant,4,R&D Intern,1,Web Development Intern,1,Software Engineer Intern,1,NA,NA,NA,NA,190275,1,5904.9494
790,Rolland Blanda,3/14/79,38,Male,African American,WA,USA,Associate,455,18,1,5,Senior Applications Developer,4,Sr. Ops Analyst,4,Operations Analyst,3,Analyst programmer iii,3,Programmer/Analyst,3,NA,NA,205321,1,5438.769184
791,Kacie Schamberger,5/11/85,32,Male,Caucasian,LA,USA,Associate,458,12,2,3,IT Analyst,3,UI team lead,3,Software analyst,3,NA,NA,NA,NA,NA,NA,192206,0,6458.538406
792,Mitzie Schuppe,9/18/78,39,Male,Hispanic,CA,USA,Undergraduate,491,17,4,4,Senior System Engineer,4,Business Analyst,3,System Analyst III,3,Software Business Operations Analyst,3,NA,NA,NA,NA,222752,1,5299.313564
793,Dora Hahn,2/16/94,23,Female,Asian,IN,USA,Associate,336,3,1,3,Operations Analyst,3,IT Support Technician III,2,System Analyst,3,NA,NA,NA,NA,NA,NA,109022,0,8985.792565
794,Leon Kirlin,12/10/84,32,Male,Hispanic,MT,USA,Graduate,437,8,3,1,System Analyst III,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201829,1,6458.538406
795,Maryland Walter,12/25/90,26,Male,Hispanic,SC,USA,Undergraduate,343,4,1,2,Manager / ProductOwner,6,Development Team Lead,3,NA,NA,NA,NA,NA,NA,NA,NA,188660,1,7948.970346
796,Jamaal Kerluke,3/14/65,52,Male,Caucasian,PA,USA,Undergraduate,476,30,9,6,Senior Analyst,4,Programmer Analyst III,3,Developer / System Analyst,3,Developer / System Analyst,3,Software Business Operations Analyst,3,Analyst programmer iii,3,266048,1,3974.485173
797,Clifford Bartell,7/14/63,54,Male,African American,NH,USA,Doctorate,307,21,1,4,Director of Product Management,5,Director of operations,5,Student Intern Co-op,1,Product Management Intern,1,NA,NA,NA,NA,532766,0,3827.282019
798,Shelly Johnston,11/22/70,46,Male,Caucasian,MD,USA,Doctorate,438,13,1,4,Senior User Experience Consultant,4,Senior Technical Project Manager,4,Summer Intern,1,Developer Intern,1,NA,NA,NA,NA,205830,1,4492.896283
799,Lorelei Nikolaus,10/28/70,47,Female,Hispanic,HI,USA,Associate,414,27,10,6,Senior Applications Engineer,4,"Senior Designer, UX",4,Software analyst,3,Programmer Analyst,3,data mining analyst,3,IT Analyst,3,188423,1,4397.302745
800,Gaylord Altenwerth,8/13/84,33,Male,African American,IN,USA,Graduate,358,9,2,3,Senior Network Engineer,4,Senior Android Developer,4,Data Science Intern,1,NA,NA,NA,NA,NA,NA,181611,0,6262.825121
801,Tobias Kilback,5/5/57,60,Female,Asian,IN,USA,Doctorate,406,27,2,5,Senior Project Manager,4,Senior Product Designer,4,Software Engineer Intern,1,Data Science Intern,1,Software Engineering Intern,1,NA,NA,180550,1,3444.553817
802,Gabrielle Dietrich,6/6/58,59,Female,Native American,MS,USA,Associate,460,39,8,6,Senior Java Developer,4,Senior Mobile Developer,4,Analyst programmer iii,3,UI team lead,3,Product Analyst,3,Software analyst,3,183927,0,3502.936085
803,Lynnette Howell,11/5/73,44,Female,Caucasian,ND,USA,Associate,436,24,1,4,Senior PHP Developer,4,"Senior Manager, Delivery",4,information technology analyst,3,Developer Analyst,3,NA,NA,NA,NA,106940,1,4697.118841
804,Pandora Lubowitz,6/4/68,49,Female,African American,NJ,USA,Doctorate,396,16,1,4,Director of Core Product,5,Director of Product,5,Product Management Intern,1,Product Management Intern,1,NA,NA,NA,NA,206085,0,4217.821
805,Kerstin Cole,6/27/89,28,Female,Asian,GA,USA,Undergraduate,458,6,3,3,Senior Telecommunications Specialist,4,UI team lead,3,IT Analyst,3,NA,NA,NA,NA,NA,NA,182127,0,7381.18675
806,Julio Herzog,8/9/80,37,Female,African American,PA,USA,Graduate,433,13,3,3,"Director, Product Management",5,Senior Consulting Associate,4,Summer Intern,1,NA,NA,NA,NA,NA,NA,198753,0,5585.762946
807,Latrisha Kling,3/2/70,47,Female,Native American,IA,USA,Doctorate,459,14,2,4,Senior Solutions Engineer,4,Senior Systems Analyst,4,R&D Intern,1,Web Development Intern,1,NA,NA,NA,NA,189063,1,4397.302745
808,Gene Witting,7/27/62,55,Male,African American,ID,USA,Graduate,463,31,6,6,"Senior Designer, UX",4,Senior IT Engineer,4,Business Analytics Intern,1,Student Intern Co-op,1,Intern,1,Information Systems Intern,1,250102,0,3757.695073
809,Emmitt Hilll,8/18/75,42,Male,Hispanic,AK,USA,Associate,311,22,1,4,Senior Technical Consultant,4,Senior Consultant (Salesforce.com developer),4,Software Engineer / Team Lead,3,"Lead DevOps Engineer, Team Lead",3,NA,NA,NA,NA,181990,1,4920.791167
810,Ronni Witting,10/30/91,26,Female,Caucasian,CO,USA,Undergraduate,407,4,1,2,Development Team Lead,3,UI team lead,3,NA,NA,NA,NA,NA,NA,NA,NA,103246,0,7948.970346
811,Jayna Reinger,3/3/87,30,Female,Native American,PA,USA,Associate,420,10,4,5,Senior IT Engineer,4,Analyst (Technology),3,Analyst programmer iii,3,Software Engineer / Team Lead,3,Developer / System Analyst,3,NA,NA,200380,0,6889.107633
812,Wilfredo Satterfield,9/16/94,23,Male,Asian,NM,USA,Associate,482,3,1,1,Data analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55618,0,8985.792565
813,Oscar Walker,7/20/79,38,Male,Hispanic,LA,USA,Associate,491,18,2,4,Senior Interactive Developer,4,Sr Operations Engineer,4,Business Analyst,3,Programmer Analyst,3,NA,NA,NA,NA,128361,0,5438.769184
814,Kerry Shanahan,11/29/65,51,Female,Native American,DC,USA,Graduate,384,27,2,6,Senior iOS Developer,4,General Manager,4,Information Systems Intern,1,Summer Intern,1,Internal Help Desk,1,Data Science Intern,1,187733,1,4052.416255
815,Ricardo Nitzsche,11/27/88,28,Male,Caucasian,AK,USA,Graduate,358,4,1,1,Dev Team leader,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195525,1,7381.18675
816,Rene Armstrong,10/25/53,64,Male,Hispanic,WV,USA,Undergraduate,390,42,2,5,Senior Technical Project Manager,4,Senior Consulting Associate,4,HR Analyst,3,Product Analyst,3,data mining analyst,3,NA,NA,201369,0,3229.269203
817,Brant O'Connell,10/5/78,39,Male,Native American,NV,USA,Doctorate,384,6,2,3,Senior Security Engineer,4,Senior Consulting Associate,4,Intern,1,NA,NA,NA,NA,NA,NA,126250,1,5299.313564
818,Jeanmarie Turner,10/3/62,55,Male,Native American,ID,USA,Doctorate,361,22,1,4,Senior QA Engineer,4,Senior Security Engineer,4,R&D Intern,1,R&D Intern,1,NA,NA,NA,NA,262500,1,3757.695073
819,Angelita Champlin,4/30/68,49,Female,Native American,MS,USA,Associate,479,29,7,5,CEO (Co-Founder),6,Second Line Support Analyst,3,Programmer Analyst,3,Application Development Analyst,3,Web analyst,3,NA,NA,127016,0,4217.821
820,Jefferson Kreiger,5/7/63,54,Male,Asian,AL,USA,Graduate,442,30,6,6,Senior Consultant (Salesforce.com developer),4,Senior Editor,4,R&D Intern,1,R&D Intern,1,Software Engineering Intern,1,Software Engineer Intern,1,204505,0,3827.282019
821,Scarlett West,3/31/53,64,Female,African American,CO,USA,Undergraduate,429,42,5,4,Sr. QA Analyst,4,"Senior Manager, Delivery",4,Online Marketing Analyst,3,Programmer Analyst,3,NA,NA,NA,NA,200296,0,3229.269203
822,Jinny Effertz,10/27/78,39,Female,African American,VA,USA,Graduate,440,15,2,4,Engineering Director,5,Senior Consultant,4,Intern,1,Data Science Intern,1,NA,NA,NA,NA,263570,1,5299.313564
823,Germaine Hand,3/30/91,26,Male,Asian,DC,USA,Graduate,336,2,1,6,Senior consultant,4,Developer Intern,1,Software Engineer Intern,1,Student Intern Co-op,1,R&D Intern,1,Intern,1,181871,1,7948.970346
824,Ricardo Koss,4/25/90,27,Female,Caucasian,MN,USA,Associate,410,7,1,1,Application Development Analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131921,1,7654.564037
825,Moon Baumbach,4/23/92,25,Female,Caucasian,UT,USA,Undergraduate,463,3,1,2,Senior - Risk Assurance,4,Advisory Engineer,3,NA,NA,NA,NA,NA,NA,NA,NA,184460,1,8266.92916
826,Moses Abbott,4/11/94,23,Female,Native American,ME,USA,Undergraduate,444,1,1,1,Senior - Risk Assurance,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259348,0,8985.792565
828,Lanny Harber,6/13/94,23,Male,Asian,NJ,USA,Undergraduate,353,1,1,1,Director of Product,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181729,1,8985.792565
829,Emelina Hauck,1/9/90,27,Female,Hispanic,DC,USA,Graduate,370,3,1,2,Senior consultant,4,Dev Team leader,3,NA,NA,NA,NA,NA,NA,NA,NA,180680,1,7654.564037
830,Shani Ziemann,7/30/74,43,Male,African American,KY,USA,Doctorate,490,10,1,5,Senior Telecommunications Specialist,4,Senior full stack developer,4,Software Engineering Intern,1,Student Intern Co-op,1,Web Development Intern,1,NA,NA,200572,1,4806.354163
831,Loreta Buckridge,7/9/94,23,Female,Caucasian,OR,USA,Undergraduate,480,1,1,1,Sr. NET Developer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183008,0,8985.792565
832,Shellie Legros,2/23/93,24,Male,Asian,SD,USA,Undergraduate,375,2,1,6,Senior Consulting Associate,4,information technology analyst,3,Security Analyst,3,Product Analyst,3,IT Analyst,3,Data Analyst,3,202608,1,8611.384542
833,Sergio Mayer,12/16/84,32,Male,Hispanic,CO,USA,Graduate,433,8,2,3,Senior Data Scientist,4,Senior IT Analyst,4,Intern,1,NA,NA,NA,NA,NA,NA,185321,1,6458.538406
834,Jacob Towne,10/1/68,49,Male,Asian,AL,USA,Graduate,460,25,1,4,Senior Editor,4,Senior UNIX administrator,4,Intern,1,Information Systems Intern,1,NA,NA,NA,NA,196118,1,4217.821
835,Candelaria Feest,12/3/54,62,Male,Caucasian,OR,USA,Graduate,439,38,4,5,Director of Software Development,5,Director of Business Development,5,Software Engineering Intern,1,Product Management Intern,1,Software Engineer Intern,1,NA,NA,194598,1,3333.439177
836,Antione Jaskolski,1/20/60,57,Female,Asian,NJ,USA,Graduate,472,33,9,6,Sr. Staff Engineer,4,sr engagement associate,4,Software Engineer Intern,1,Software Engineer Intern,1,Software Engineering Intern,1,Product Management Intern,1,183275,0,3625.846123
839,Juan Jacobi,1/7/56,61,Female,Native American,OK,USA,Graduate,325,37,12,4,"Senior Designer, UX",4,Senior Manager IT,4,Developer Intern,1,Summer Intern,1,NA,NA,NA,NA,189866,1,3388.085721
840,Timmy Daugherty,6/18/80,37,Male,African American,AR,USA,Undergraduate,464,15,3,4,Senior Project Manager,4,Senior web developer,4,Software analyst,3,Analyst,3,NA,NA,NA,NA,198649,0,5585.762946
842,Marlene Schuppe,10/16/62,55,Male,African American,MO,USA,Associate,383,35,3,6,Security Analyst,3,Devops team lead,3,information technology analyst,3,Software analyst,3,Programmer Analyst,3,Developer Analyst,3,201990,1,3757.695073
843,Eugenio Ondricka,9/4/59,58,Male,Asian,NJ,USA,Doctorate,361,25,1,4,Senior IT Analyst,4,Senior Network Engineer,4,Summer Intern,1,Product Management Intern,1,NA,NA,NA,NA,256824,0,3563.331534
844,Alfonzo Maggio,4/29/91,26,Male,African American,NH,USA,Associate,430,6,3,2,IT Support Technician III,2,Calibration technician,2,NA,NA,NA,NA,NA,NA,NA,NA,104530,0,7948.970346
845,Chauncey Hintz,3/16/59,58,Female,Native American,FL,USA,Doctorate,335,25,1,6,Sr Web Developer,4,Senior Application Developer,4,Research Intern,1,Intern,1,Research Intern,1,Data Science Intern,1,199359,1,3563.331534
846,Julieann Zieme,9/17/77,40,Male,Hispanic,TX,USA,Graduate,438,16,1,3,Sr. Software Developer,4,Analyst programmer iii,3,Internal Help Desk,1,NA,NA,NA,NA,NA,NA,188928,0,5166.830725
847,Terrell Feeney,6/5/76,41,Male,Asian,OR,USA,Associate,375,21,1,5,Senior IOS Engineer,4,Senior Member of Technical Staff,4,Analyst (Technology),3,UI team lead,3,data analyst,3,NA,NA,182101,1,5040.810463
848,Elmer Heller,8/14/89,28,Female,Asian,PA,USA,Associate,453,8,1,3,Assistant Manager,2,IT Support Technician III,2,Operations Analyst,3,NA,NA,NA,NA,NA,NA,131984,0,7381.18675
849,Renata Hammes,8/28/71,46,Female,Asian,AK,USA,Undergraduate,345,24,1,4,"Senior Designer, UX",4,Senior Programmer,4,Technology Business Analyst,3,Advisory Engineer,3,NA,NA,NA,NA,181559,1,4492.896283
850,Lucius Considine,9/13/65,52,Female,Caucasian,KS,USA,Doctorate,389,19,1,4,Director of Mobile,5,Operations Analyst,3,Student Intern Co-op,1,Student Intern Co-op,1,NA,NA,NA,NA,274936,1,3974.485173
851,Jayson Kiehn,4/7/90,27,Female,Caucasian,OR,USA,Undergraduate,375,5,3,3,Senior Software Engineer II,4,Advisory Engineer,3,data analyst,3,NA,NA,NA,NA,NA,NA,203010,0,7654.564037
852,Ezekiel Heathcote,9/2/53,64,Male,Asian,IA,USA,Graduate,475,40,11,4,Senior software Engineer,4,Senior UI Developer,4,R&D Intern,1,Summer Intern,1,NA,NA,NA,NA,184685,0,3229.269203
853,Kasha Grimes,10/2/91,26,Female,Asian,MT,USA,Undergraduate,456,4,1,2,Sr. Software Engineer Test,4,Advisory Engineer,3,NA,NA,NA,NA,NA,NA,NA,NA,194179,1,7948.970346
854,Logan Kuvalis,3/2/91,26,Male,Native American,ND,USA,Graduate,306,2,1,5,Senior Applications Engineer,4,Software Engineer Intern,1,Business Analytics Intern,1,Data Science Intern,1,Student Worker,1,NA,NA,185797,1,7948.970346
855,Timothy Kozey,2/24/90,27,Female,African American,ME,USA,Graduate,340,3,1,1,Sr. NET Developer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195520,0,7654.564037
856,Sherry Satterfield,7/10/75,42,Male,Native American,CO,USA,Doctorate,329,9,1,4,Senior Business Intelligence Developer,4,Sr. Software Engineer Test,4,Student Worker,1,Software Engineer Intern,1,NA,NA,NA,NA,306919,1,4920.791167
858,Madelyn Waters,3/24/75,42,Female,Native American,OK,USA,Associate,381,22,1,6,Sr MySQL DBA,4,Senior PHP Developer,4,Developer Analyst,3,Software Engineer / Team Lead,3,Dev Team leader,3,UI team lead,3,113752,1,4920.791167
859,Columbus Davis,5/7/80,37,Male,African American,OH,USA,Undergraduate,424,15,4,3,Senior System Administrator,4,General Manager,4,"Lead DevOps Engineer, Team Lead",3,NA,NA,NA,NA,NA,NA,276365,0,5585.762946
860,Ken Rowe,1/3/59,58,Male,Native American,CO,USA,Associate,431,38,12,5,Co-Founder,6,Sr. Staff Engineer,4,Devops team lead,3,"Lead DevOps Engineer, Team Lead",3,IT Analyst I,3,NA,NA,209816,1,3563.331534
861,Wilhelmina Harber,1/21/82,35,Male,African American,HI,USA,Associate,433,15,4,5,Data Analyst,3,Developer / System Analyst,3,Product Analyst,3,Business Analyst,3,Second Line Support Analyst,3,NA,NA,184374,1,5904.9494
862,Jeremiah Jacobson,7/10/59,58,Male,Hispanic,ME,USA,Graduate,307,34,1,4,Sr. NET Developer,4,Senior Sales Consultant,4,Web Development Intern,1,Student Worker,1,NA,NA,NA,NA,201275,1,3563.331534
863,Jeromy Durgan,6/20/85,32,Female,Native American,DC,USA,Graduate,402,8,2,2,Sr. Support Engineer,4,Senior Expert,4,NA,NA,NA,NA,NA,NA,NA,NA,196605,0,6458.538406
864,Edris Vandervort,6/8/91,26,Female,African American,NV,USA,Undergraduate,495,4,1,3,Sr Product Manager,4,"Lead DevOps Engineer, Team Lead",3,Data analyst,3,NA,NA,NA,NA,NA,NA,198178,1,7948.970346
865,Gilbert Kub,7/23/82,35,Female,Hispanic,LA,USA,Doctorate,404,2,1,3,Director of Core Product,5,Internal Help Desk,1,Business Analytics Intern,1,NA,NA,NA,NA,NA,NA,204761,1,5904.9494
866,Isiah Hoppe,2/18/65,52,Female,Hispanic,VT,USA,Doctorate,435,19,1,4,Senior .Net Developer,4,Senior UI Developer,4,Summer Intern,1,Business Analytics Intern,1,NA,NA,NA,NA,206758,0,3974.485173
867,Lincoln Schamberger,1/3/55,62,Male,Caucasian,NJ,USA,Associate,399,42,2,6,Senior software engineer,4,Business systems analyst,3,HR Analyst,3,Web analyst,3,IT Analyst I,3,Software analyst,3,192020,0,3333.439177
868,Heath O'Reilly,5/24/62,55,Female,Caucasian,MT,USA,Associate,375,35,4,4,Senior Ruby Developer,4,System Analyst,3,Business Analyst,3,Operations Analyst,3,NA,NA,NA,NA,194820,0,3757.695073
869,Mohammed Macejkovic,5/28/58,59,Male,African American,HI,USA,Undergraduate,470,37,9,5,Senior web developer,4,Senior Application Developer,4,Product Analyst,3,Application Development Analyst,3,Advisory Engineer,3,NA,NA,181501,0,3502.936085
870,Katerine Daniel,1/19/84,33,Male,Asian,MI,USA,Associate,458,13,2,5,Senior Web Developer,4,Sr Consultant (software  engineer),4,Developer Analyst,3,System Analyst,3,IT Analyst I,3,NA,NA,187966,1,6262.825121
871,Rashad Bashirian,4/11/78,39,Male,Native American,FL,USA,Graduate,439,15,4,3,Director of Mobile,5,Director of User Experience,5,Student Intern Co-op,1,NA,NA,NA,NA,NA,NA,202807,0,5299.313564
872,Efren Waelchi,9/5/67,50,Female,Native American,DC,USA,Graduate,459,26,4,5,Senior (Web)Application Developer,4,Senior systems engineer,4,Software Engineering Intern,1,R&D Intern,1,Research Intern,1,NA,NA,196887,0,4133.46458
873,Adrianna Durgan,4/14/68,49,Female,African American,MO,USA,Graduate,498,25,1,6,Director Digital Marketing,5,Senior Software Development Engineer,4,Internal Help Desk,1,Web Development Intern,1,Software Engineering Intern,1,R&D Intern,1,264015,1,4217.821
874,Shawn Beier,10/15/83,34,Male,Asian,UT,USA,Graduate,456,10,1,3,Senior developer,4,Senior Sales Consultant,4,Student Intern Co-op,1,NA,NA,NA,NA,NA,NA,187961,1,6078.624382
875,Laverne Jenkins,6/16/59,58,Male,Native American,VT,USA,Associate,414,38,3,5,Operations Analyst,3,Devops team lead,3,data mining analyst,3,IT Analyst I,3,Software Business Operations Analyst,3,NA,NA,205887,0,3563.331534
876,Cornelius Ullrich,3/15/65,52,Female,Hispanic,CT,USA,Associate,414,32,11,6,Senior UI Developer,4,Senior User Experience Consultant,4,Web analyst,3,Data Analyst,3,IT Analyst,3,Analyst programmer iii,3,201162,1,3974.485173
